municipio_cod,municipio_fato,data_fato,ano,tentado_consumado,qtde_vitimas,feriado
312310,DORES DE GUANHAES,2018-06-09,2018,CONSUMADO,1,False
316292,SAO JOAQUIM DE BICAS,2018-06-09,2018,CONSUMADO,1,False
317120,VESPASIANO,2018-06-09,2018,CONSUMADO,1,False
315460,RIBEIRAO DAS NEVES,2018-06-10,2018,TENTADO,1,False
311860,CONTAGEM,2018-06-11,2018,TENTADO,1,False
313260,ITAMARATI DE MINAS,2018-06-12,2018,TENTADO,1,False
310630,BELO ORIENTE,2018-06-13,2018,TENTADO,1,False
315350,ALTO JEQUITIBA,2018-06-13,2018,TENTADO,1,False
313820,LAVRAS,2018-06-13,2018,CONSUMADO,1,False
313130,IPATINGA,2018-06-14,2018,TENTADO,1,False
313130,IPATINGA,2018-06-15,2018,TENTADO,1,False
316556,SEM-PEIXE,2018-06-15,2018,TENTADO,1,False
315690,SACRAMENTO,2018-06-16,2018,TENTADO,1,False
310690,BICAS,2018-06-17,2018,TENTADO,1,False
315320,PRESIDENTE JUSCELINO,2018-06-17,2018,CONSUMADO,1,False
312420,ESPERA FELIZ,2018-06-18,2018,CONSUMADO,1,False
314800,PATOS DE MINAS,2018-06-21,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-06-23,2018,TENTADO,1,False
310445,ARICANDUVA,2018-06-24,2018,TENTADO,1,False
313670,JUIZ DE FORA,2018-06-25,2018,TENTADO,1,False
315210,PONTE NOVA,2018-06-25,2018,TENTADO,1,False
317010,UBERABA,2018-06-27,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-06-28,2018,TENTADO,2,False
315790,SANTA MARGARIDA,2018-06-28,2018,TENTADO,1,False
312707,FRUTA DE LEITE,2018-06-30,2018,TENTADO,1,False
314480,NOVA LIMA,2018-07-01,2018,CONSUMADO,1,False
313960,MANTENA,2018-07-02,2018,TENTADO,1,False
316510,SAO TOMAS DE AQUINO,2018-07-02,2018,TENTADO,2,False
310830,BORDA DA MATA,2018-07-04,2018,TENTADO,1,False
316255,SAO JOAO DO MANHUACU,2018-07-06,2018,TENTADO,1,False
310400,ARAXA,2018-07-07,2018,TENTADO,1,False
311340,CARATINGA,2018-07-08,2018,TENTADO,1,False
317070,VARGINHA,2018-07-08,2018,CONSUMADO,1,False
315120,PIRAPORA,2018-07-10,2018,TENTADO,1,False
317200,VISCONDE DO RIO BRANCO,2018-07-10,2018,CONSUMADO,1,False
315460,RIBEIRAO DAS NEVES,2018-07-11,2018,TENTADO,1,False
313700,LADAINHA,2018-07-12,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-07-13,2018,TENTADO,2,False
316240,SAO JOAO DA PONTE,2018-07-13,2018,TENTADO,1,False
310030,ABRE-CAMPO,2018-07-14,2018,TENTADO,1,False
315890,SANTANA DO MANHUACU,2018-07-14,2018,TENTADO,1,False
316100,SAO DOMINGOS DO PRATA,2018-07-14,2018,CONSUMADO,1,False
312245,DIVISOPOLIS,2018-07-15,2018,TENTADO,1,False
316800,TAIOBEIRAS,2018-07-16,2018,TENTADO,1,False
311710,CONCEICAO DA APARECIDA,2018-07-20,2018,TENTADO,1,False
311545,CATUJI,2018-07-20,2018,CONSUMADO,1,False
313580,JEQUITINHONHA,2018-07-20,2018,CONSUMADO,1,False
316940,TRES PONTAS,2018-07-20,2018,CONSUMADO,1,False
313550,JEQUERI,2018-07-21,2018,TENTADO,1,False
310670,BETIM,2018-07-22,2018,TENTADO,1,False
310670,BETIM,2018-07-24,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-07-24,2018,CONSUMADO,1,False
312510,EXTREMA,2018-07-24,2018,CONSUMADO,1,False
315730,SANTA BARBARA DO TUGURIO,2018-07-26,2018,TENTADO,1,False
313060,INCONFIDENTES,2018-07-26,2018,CONSUMADO,1,False
312733,GAMELEIRAS,2018-07-27,2018,TENTADO,1,False
310170,ALMENARA,2018-07-28,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-07-28,2018,TENTADO,1,False
313940,MANHUACU,2018-07-28,2018,TENTADO,1,False
316550,SARDOA,2018-07-28,2018,TENTADO,1,False
316860,TEOFILO OTONI,2018-07-29,2018,TENTADO,1,False
310210,ALTO RIO DOCE,2018-07-29,2018,CONSUMADO,1,False
311230,CAPELINHA,2018-08-01,2018,CONSUMADO,1,False
310620,BELO HORIZONTE,2018-08-03,2018,TENTADO,1,False
312820,GUARACIABA,2018-08-03,2018,CONSUMADO,1,False
314930,PEDRO LEOPOLDO,2018-08-04,2018,CONSUMADO,1,False
310530,BANDEIRA DO SUL,2018-08-05,2018,TENTADO,1,False
310060,AGUA BOA,2018-08-06,2018,TENTADO,1,False
315780,SANTA LUZIA,2018-08-06,2018,TENTADO,1,False
312770,GOVERNADOR VALADARES,2018-08-06,2018,CONSUMADO,1,False
315150,PIUMHI,2018-08-07,2018,CONSUMADO,1,False
313630,JOAO PINHEIRO,2018-08-08,2018,TENTADO,1,False
314430,NANUQUE,2018-08-08,2018,TENTADO,1,False
311860,CONTAGEM,2018-08-09,2018,CONSUMADO,1,False
314015,MARIO CAMPOS,2018-08-11,2018,TENTADO,2,False
310620,BELO HORIZONTE,2018-08-12,2018,TENTADO,1,False
314460,NEPOMUCENO,2018-08-12,2018,TENTADO,1,False
315990,SANTO ANTONIO DO AMPARO,2018-08-16,2018,TENTADO,1,False
316970,TURMALINA,2018-08-18,2018,TENTADO,1,False
313770,LAJINHA,2018-08-19,2018,TENTADO,1,False
310620,BELO HORIZONTE,2018-08-19,2018,CONSUMADO,1,False
311860,CONTAGEM,2018-08-19,2018,CONSUMADO,1,False
310940,BURITIZEIRO,2018-08-20,2018,CONSUMADO,1,False
312230,DIVINOPOLIS,2018-08-20,2018,CONSUMADO,1,False
315250,POUSO ALEGRE,2018-08-22,2018,CONSUMADO,1,False
